"","geneID","order","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACT27540-1","ACT27540-1",442,9.04525922459441,-0.559892529775536,0.33111737845503,4.21743998074095,0.121393251559907,0.342108400186322
"ACT27900-1","ACT27900-1",817,10.0347139289976,0.351722763432721,0.240932728676805,4.21810664010293,0.121352794329263,0.342108400186322
"ACT31043-1","ACT31043-1",3922,15.1557285273411,0.184115669267013,0.219403662394998,4.21589014165457,0.121487358020711,0.342108400186322
"ACT30383-1","ACT30383-1",3255,8.17906208361294,0.0985972525068574,0.392334601883067,4.20575699655556,0.122104444470546,0.34350261301604
"ACT27417-1","ACT27417-1",323,7.85097524804864,0.0749529360537029,0.287599003562731,4.19551930078565,0.122731081008133,0.344233788963051
"ACT29026-1","ACT29026-1",1959,99.5925653390007,0.146686635601576,0.107397480776689,4.19716036913164,0.122630417266745,0.344233788963051
"ACT30595-1","ACT30595-1",3472,1.99413247884547,-1.34390443342406,0.78150029659314,4.19809932363964,0.122572858587493,0.344233788963051
"ACT30998-1","ACT30998-1",3858,11.0733085053658,-0.0279493478298868,0.376018332859622,4.19222061318902,0.122933673782095,0.344458930716797
"ACT27389-1","ACT27389-1",295,41.1335352468201,-0.321503077122196,0.1623811937378,4.16760204637595,0.124456250904712,0.34768730411475
"ACT28674-1","ACT28674-1",1597,13.7593291015758,-0.13184437898659,0.232222320078531,4.16785023374375,0.124440807628279,0.34768730411475
"ACT28777-1","ACT28777-1",1706,1.07537851163224,-0.0288259545547889,0.659278206887106,4.17146247596293,0.124216255304115,0.34768730411475
"ACT27712-1","ACT27712-1",626,5.87107299154983,0.0720986256116193,0.364523124894597,4.16339601590715,0.124718259704064,0.347729326065983
"ACT28691-1","ACT28691-1",1614,5.23678848054453,-0.804102980639479,0.419874313447962,4.16394845073368,0.124683815106299,0.347729326065983
"ACT29696-1","ACT29696-1",2599,5.1260813848129,-0.191148750234256,0.359077701045777,4.15975979953718,0.124945217247014,0.348017538840348
"ACT27643-1","ACT27643-1",562,1.9847293902889,-0.216820295849423,0.544754554441788,4.14391311034954,0.125939133629828,0.350193455249782
"ACT31164-1","ACT31164-1",4048,10.4684513560288,-0.49187778046229,0.291074268832588,4.1433415218828,0.125975131451715,0.350193455249782
"ACT27318-1","ACT27318-1",226,1.68995651667013,-0.22843973291027,0.599201822544972,4.13734021777727,0.126353706690732,0.350899445799903
"ACT29226-1","ACT29226-1",2146,1.74443656624819,0.856441594416081,0.730336164447197,4.1320903265208,0.126685813991831,0.35147512532118
"ACT27304-1","ACT27304-1",213,1.52717151683375,-1.40887654017996,0.942422787601498,4.12741171497836,0.126982517752738,0.35194058426433
"ACT29369-1","ACT29369-1",2282,8.03166650192656,-0.579532010963676,0.324117262156506,4.1255064671289,0.127103541973304,0.35194058426433
"ACT28136-1","ACT28136-1",1066,12.668289116907,0.200769491537981,0.260257601006371,4.10916146375588,0.128146552080176,0.354213665255596
"ACT29546-1","ACT29546-1",2457,0.999792592962798,0.622392398225,1.01691220019993,4.10870131562569,0.12817603867026,0.354213665255596
"ACT29398-1","ACT29398-1",2312,1.67472547453797,1.1223945607866,0.579650861323533,4.10539771724853,0.128387934703601,0.354451396201313
"ACT28141-1","ACT28141-1",1071,0.960503638499982,-0.606217716729777,0.772278039913367,4.09762376708252,0.128887946543996,0.355483307999894
"ACT28840-1","ACT28840-1",1771,48.9498904838508,0.298309005697954,0.168576762350127,4.09424848219953,0.129105646961342,0.355735324699745
"ACT29074-1","ACT29074-1",2008,1.31438302210525,-0.271276561614426,1.05624187340066,4.08423080306658,0.129753938673299,0.357172132261985
"ACT28120-1","ACT28120-1",1048,25.3133049534255,-0.818684938888073,0.411849470718632,4.0800228353913,0.130027226258655,0.357226018677435
"ACT28865-1","ACT28865-1",1797,2.96816574412305,0.515671264854027,0.520496625048445,4.08035087766224,0.130005900794323,0.357226018677435
"ACT28016-1","ACT28016-1",940,26.7241307206884,-0.173298731552615,0.156779351622148,4.05923646947252,0.13138567006031,0.358691571608488
"ACT28217-1","ACT28217-1",1157,2.25621333049389,0.792773146968941,0.619687031003541,4.05835413208935,0.131443646092128,0.358691571608488
"ACT28407-1","ACT28407-1",1346,5.37434471862438,-0.052756318116463,0.338435801143152,4.05980002291851,0.13134865385215,0.358691571608488
"ACT28540-1","ACT28540-1",1471,0.94243567805241,1.51853345035017,0.898707523695007,4.05671235388449,0.131551591048147,0.358691571608488
"ACT29079-1","ACT29079-1",2013,1.82383850242888,-0.212813425205441,0.569419281307381,4.06602821572758,0.130940257703975,0.358691571608488
"ACT29091-1","ACT29091-1",2024,1.21762139718699,-0.185802898293781,0.919477609166552,4.06472366899018,0.13102569440798,0.358691571608488
"ACT29302-1","ACT29302-1",2213,1.0502971148612,-0.76904849848552,0.756902671954887,4.05628527985471,0.131579685181665,0.358691571608488
"ACT30997-1","ACT30997-1",3857,23.8653340775192,-0.426646099631736,0.230973870420904,4.06251242127395,0.13117063965444,0.358691571608488
"EBG00001118714-1","EBG00001118714-1",452,26.8652130889595,0.0367280715318024,0.165655592063586,4.04418857137348,0.132377937350949,0.358783707006999
"ECBD_R0006-1","ECBD_R0006-1",453,26.8652130889595,0.0367280715318024,0.165655592063586,4.04418857137348,0.132377937350949,0.358783707006999
"ACT29629-1","ACT29629-1",2535,1.94508924887945,-1.33830730905076,0.764247466005582,4.0482232460159,0.132111155582311,0.358783707006999
"ACT30439-1","ACT30439-1",3314,44.3023664474703,0.345062080070051,0.182404829486748,4.04488426272135,0.132331898265829,0.358783707006999
"ACT30447-1","ACT30447-1",3322,161.501477951783,0.152881880666825,0.12041846868454,4.0462874731351,0.132239086079535,0.358783707006999
"EBG00001118741-1","EBG00001118741-1",4145,2.99919241380567,-1.06848273393768,0.575393047708589,4.04660895802112,0.13221783135409,0.358783707006999
"ACT27436-1","ACT27436-1",340,1.11766469956062,0.259238480428701,0.922461493546757,4.0269827695889,0.133521684343274,0.361188341124552
"ACT28200-1","ACT28200-1",1141,2.97622817103438,-0.587168357238269,0.485107762535103,4.02732121380903,0.133499091433774,0.361188341124552
"ACT29968-1","ACT29968-1",2859,1.50009100633561,-0.658461415610238,0.644953498154319,4.02274712178238,0.133804759403741,0.361260021554107
"ACT30437-1","ACT30437-1",3312,13.4467367754949,-0.157618306740437,0.231620639460605,4.02429396611238,0.133701311846509,0.361260021554107
"ACT29841-1","ACT29841-1",2741,4.80969782733028,-0.822629890003339,0.428102456119724,4.01964802413576,0.134012257133641,0.361473674414112
"ACT29375-1","ACT29375-1",2289,23.4806707495405,-0.201004642203637,0.17485055231836,4.01338831656474,0.134432352980286,0.361913485652471
"ACT31028-1","ACT31028-1",3896,3.09172437378739,0.830922079774566,0.503185769134163,4.01467869263452,0.134345646808541,0.361913485652471
"ACT29658-1","ACT29658-1",2564,4.70486282154368,-0.339598042954352,0.441425349421381,3.99965052401754,0.135358933518389,0.363712554186817
"ACT29950-1","ACT29950-1",2841,20.656366083104,-0.244324285085052,0.186976749576594,4.00030179879896,0.135314862764401,0.363712554186817
"ACT28847-1","ACT28847-1",1778,5.33359286186052,0.175461026779104,0.326307175424219,3.98470952893268,0.136373918599982,0.366090519330361
"ACT27620-1","ACT27620-1",533,3.74378082617763,-0.0273782414907486,0.591737461942493,3.9771569491669,0.13688987964517,0.366826249600959
"ACT31165-1","ACT31165-1",4049,1.5930966247023,-1.15120299812353,0.966682298180318,3.97688464752756,0.136908518583312,0.366826249600959
"ACT29717-1","ACT29717-1",2620,2.87227523533806,0.15723138499679,0.469916453928831,3.96519098939547,0.137711343993551,0.368626563389582
"ACT27330-1","ACT27330-1",238,4.497357030792,-0.47968287308703,0.396939345706464,3.9484204929179,0.138870942765508,0.371197778547869
"ACT27582-1","ACT27582-1",494,2.78411704362444,0.472250523808338,0.494374181716642,3.94559386794241,0.139067349562501,0.371197778547869
"ACT28692-1","ACT28692-1",1615,3.56119021228388,-0.841524935943266,0.489627690092392,3.94630628824463,0.139017821182678,0.371197778547869
"ACT28998-1","ACT28998-1",1929,3.9279984275345,0.413996227250724,0.487786125753038,3.9414255556437,0.139357489878103,0.371447953607757
"ACT29962-1","ACT29962-1",2853,4.45633267738318,-0.256551588875045,0.382676082550728,3.94045850801386,0.139424888836434,0.371447953607757
"ACT27257-1","ACT27257-1",167,4.8537963382161,-0.855750924128501,0.497390956608534,3.93438044925711,0.139849249665593,0.372183853473438
"ACT27515-1","ACT27515-1",417,37.4485342307546,-0.209082633098983,0.153801820697989,3.93271937741903,0.139965447737348,0.372183853473438
"ACT27216-1","ACT27216-1",132,3.69804847386306,-0.447915116962317,0.439203857618061,3.91700718776224,0.141069360109992,0.374765394405412
"ACT28172-1","ACT28172-1",1110,1.70510419801821,-1.4558749081595,0.830836817587804,3.913784342289,0.141296865738955,0.374772098972706
"EBG00001118700-1","EBG00001118700-1",2446,11.3460502967109,-0.174247298593356,0.261969592301459,3.91320137861396,0.141338057212008,0.374772098972706
"ACT29054-1","ACT29054-1",1988,14.5177106656104,0.243987402115211,0.260054009569421,3.90665419580455,0.141801498405941,0.375647243190151
"ACT28894-1","ACT28894-1",1827,2.21390502615272,-0.534660833916232,0.767290136801643,3.90291979418886,0.142066517623369,0.375753886458602
"ACT29815-1","ACT29815-1",2715,7.07827446735676,-0.252214912639854,0.320012139176055,3.90232709266751,0.142108625382958,0.375753886458602
"ACT28795-1","ACT28795-1",1726,5.22596741901694,-0.451361490684311,0.358191872885341,3.89826120142726,0.142397818347698,0.375812798938255
"ACT30687-1","ACT30687-1",3567,3.92175516113049,-0.865859676810855,0.60296725140835,3.89983767721917,0.142285619216588,0.375812798938255
"ACT28220-1","ACT28220-1",1160,8.63786728712298,-0.0262513023508524,0.265753069491182,3.89592468638521,0.142564272881909,0.375899805651176
"ACT28612-1","ACT28612-1",1538,7.82069316134775,0.323041667459286,0.276847708585397,3.88369432489461,0.143438750246857,0.377146144439915
"ACT29739-1","ACT29739-1",2644,23.4228918207784,-0.338841277834908,0.177268283679642,3.88517649987587,0.143332488962695,0.377146144439915
"ACT29816-1","ACT29816-1",2716,1.23029495239281,-0.0858258466696358,0.652688361463338,3.88443931275624,0.143385330132898,0.377146144439915
"ACT30777-1","ACT30777-1",3655,1.56237630994176,-0.184939124028141,0.906174875776799,3.87190146492583,0.144287025234045,0.379022633450625
"ACT29354-1","ACT29354-1",2267,1.94267667476149,-0.145439109628353,0.510206544657127,3.86521158583349,0.144770464697888,0.379938144071997
"ACT28564-1","ACT28564-1",1492,5.4206983414367,-0.457504165408196,0.422872933959377,3.86308751854509,0.144924297475417,0.379987729693459
"ACT29160-1","ACT29160-1",2087,1.95421535693119,-0.699400489093333,0.957447496148887,3.86047418605443,0.145113788937143,0.380130632229763
"ACT27152-1","ACT27152-1",70,6.10547634448461,-0.618517874644087,0.37658187132637,3.85446296572798,0.145550600529843,0.380566844096601
"ACT31275-1","ACT31275-1",4167,19.6719867774107,0.0643773688917151,0.188427089291947,3.8548367663557,0.14552339961893,0.380566844096601
"ACT30783-1","ACT30783-1",3661,6.97982038342872,0.374546008260058,0.334867130082294,3.85139394157258,0.145774121137948,0.380797704197089
"ACT29402-1","ACT29402-1",2316,2.60159787991491,-0.258436534702233,0.597028949321177,3.8428978219082,0.146394695511822,0.382064376794523
"ACT29562-1","ACT29562-1",2473,2.33299030992132,-0.882686124264282,0.56044712891165,3.83758078499878,0.146784406308654,0.382726748301082
"ACT27751-1","ACT27751-1",663,1.82126802261818,0.592910912986553,0.532742958168711,3.82816898574285,0.147476786850601,0.384176347614518
"ACT29274-1","ACT29274-1",2196,1.65437737417496,-0.833606102023317,0.819708721525837,3.82528031521978,0.147689946674176,0.384376053451461
"ACT29195-1","ACT29195-1",2118,18.5980495252074,-0.475042755229544,0.276402440760474,3.82249974406361,0.147895420677741,0.384555405935844
"ACT28837-1","ACT28837-1",1768,1.45985681607004,0.198335322770635,0.605041217912439,3.81703382811702,0.148300165470228,0.385252090372843
"ACT30228-1","ACT30228-1",3106,5.28769124169912,-0.0308759056660454,0.349638615194519,3.81065891231698,0.148773620161825,0.385415376610578
"ACT30752-1","ACT30752-1",3630,1.52180696319941,-0.379925772977844,0.606639124352001,3.81283476086168,0.148611853740129,0.385415376610578
"ACT30775-1","ACT30775-1",3653,1.29628122705997,1.06114706510366,0.824598617700594,3.8113387357695,0.148723058857451,0.385415376610578
"ACT30278-1","ACT30278-1",3156,3.72368686045095,1.01318248017471,0.559483362418591,3.79329886741645,0.150070599285634,0.388418021680465
"ACT29239-1","ACT29239-1",2159,8.75689259281511,0.0235548480434984,0.296934184319269,3.79026338746684,0.150298540367103,0.388650771050287
"ACT27588-1","ACT27588-1",500,3.32029804119403,-0.303895775363404,0.42901581927201,3.78398459934378,0.150771128143673,0.38950557868819
"ACT28236-1","ACT28236-1",1178,12.6742406485145,-0.233546841588984,0.253101551783837,3.77828652295813,0.151201293333687,0.38950557868819
"ACT29804-1","ACT29804-1",2704,9.17377909015529,0.523190546673251,0.294571949786662,3.77670765075759,0.151320704220483,0.38950557868819
"ACT30206-1","ACT30206-1",3082,3.39048170905894,-0.317208798885827,0.436371350275283,3.77789867852371,0.151230617466943,0.38950557868819
"ACT30479-1","ACT30479-1",3356,1.19477392189489,0.351100184943879,0.637173579542317,3.78094856834687,0.151000174857162,0.38950557868819
"ACT29511-1","ACT29511-1",2421,1.27576691015972,-0.947613070351912,0.918512386495927,3.77440119082308,0.151495312453628,0.389598903990334
"ACT27113-1","ACT27113-1",33,1.7651618780226,0.795144456420937,0.730355293364971,3.76801662772802,0.151979700884883,0.390004017393857
"ACT27166-1","ACT27166-1",84,12.9392764801744,-0.102729190160942,0.215517246965395,3.76331640542928,0.152337290097027,0.390004017393857
"ACT28557-1","ACT28557-1",1486,2.62258928016875,0.802168574132128,0.491729489228821,3.76322419305752,0.15234431395036,0.390004017393857
"ACT29193-1","ACT29193-1",2117,0.988929501645992,0.0188580857399038,0.94238669312835,3.76904746291721,0.151901388056664,0.390004017393857
"ACT31159-1","ACT31159-1",4043,6.28327229480642,0.526121024445543,0.349902252226925,3.76321099478616,0.152345319294475,0.390004017393857
"ACT30621-1","ACT30621-1",3500,15.1897496817364,0.0200614161766681,0.270466793821451,3.75936565541595,0.152638510786429,0.390399678814335
"ACT28871-1","ACT28871-1",1803,2.13193493766884,0.871583449522851,0.574706112979255,3.75259993493717,0.153155739899215,0.39101229696844
"ACT30744-1","ACT30744-1",3623,2.00066699462203,0.33071829584206,0.736825463594058,3.75270017035693,0.15314806427662,0.39101229696844
"ACT27301-1","ACT27301-1",210,2.24748783820847,0.948823868360217,0.515662282638033,3.74749912305352,0.153546847738157,0.391197168658727
