"","geneID","padj_DESeq2","padj_edgeR","padj_bayseq"
"58","ACT27188-1",8.98917063185844e-16,0.000299198656628118,0.52186354975621
"59","ACT30965-1",0.00559037391417014,0.0970368248535201,0.8973211976705
"60","ACT28786-1",0.0375671910282382,0.60199708600423,0.898618051835148
"61","ACT27914-1",0.0111237293255013,0.33596746320237,0.898420522111106
"62","EBG00001118680-1",0.0467419791338471,0.316115536168478,0.896071450093593
"63","ACT31245-1",6.51023149219692e-07,1.74453635736462e-07,0.569192733627016
"64","ACT28241-1",1.03260180829937e-07,0.00118320643626871,0.827141577674931
"65","ACT28689-1",1.01471030460327e-05,0.220252159189373,0.899763916573008
"66","ACT27203-1",1.04085443500709e-05,0.00017505963907139,0.771354227074215
"67","ACT29066-1",0.000200393606480734,0.00459581858961395,0.888246244034346
"68","ACT27088-1",9.02565430188682e-09,0.000244373510657494,0.359689841617154
"69","ACT30246-1",1.1080446841869e-06,0.031638771307909,0.8937849040295
"70","ACT30520-1",0.00120872076136236,0.204005672788714,0.898346265653883
"71","ACT30753-1",0.0354520664381056,0.184782551765508,0.899425201436317
"72","ACT30198-1",2.50069395684785e-09,0.00168940668326683,0.820516108266462
"73","ACT27579-1",1.87100674794312e-05,0.0367077665057389,0.896865333631223
"74","EBG00001118584-1",1.5026608481448e-06,1.18968087253665e-08,0.161064861660062
"75","ACT27183-1",1.33196816385569e-12,3.14422166633007e-15,0.00154760052966797
"76","ACT28470-1",1.01471030460327e-05,3.04793598445945e-08,0.596327748957765
"77","ACT28218-1",0.000683873674624837,0.0728917375470803,0.895553442968914
"78","ACT27819-1",0.000150777778909857,0.0693962544078626,0.891825951877046
"79","ACT27936-1",0.0112162756406068,0.271646672332104,0.898814860880096
"80","ACT28862-1",7.25066143043183e-07,0.013802224800961,0.878608134236917
"81","ACT28465-1",0.0097040195141092,0.009422109624876,0.896148767180731
"82","ACT31074-1",0.0169626115418968,0.656960576181885,0.900076438365173
"83","ACT31248-1",0.00360662335523219,0.514204445756497,0.898642691940622
"84","ACT29227-1",0.0162139966377503,0.382972097395529,0.89829670444581
"85","ACT27176-1",0.00564387464715198,0.281545510360195,0.898593400149259
"86","ACT28099-1",0.00754286371773524,0.114119935128668,0.899255024727743
"87","ACT31034-1",0.019122993325553,0.719405090982483,0.900004487998162
