"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT28181-1","ACT28181-1",1119,0.992240996456151,-2.2444644562406,-0.453359721966851,9.15869982043361,16.9293505683021,4.46324784227907e-08,4.16192939431849e-06
"ACT31210-1","ACT31210-1",4092,0.177969158511764,1.95791388546008,0.870434716146126,8.19263402469,16.8571447111756,4.79725500475551e-08,4.19859755728706e-06
"ACT27702-1","ACT27702-1",617,0.177969158511764,1.74221967933637,1.1456627829858,8.46300954740736,16.7821925250123,5.1704311315594e-08,4.43285330279205e-06
"ACT29572-1","ACT29572-1",2483,0.30530514302761,-2.03971168001924,-0.786673766575619,9.02860700106976,16.3205404080764,8.20189977645347e-08,6.89123619217621e-06
"ACT29714-1","ACT29714-1",2617,3.81067586704323,-0.676628977123406,-1.18084848423599,9.70688004450139,15.9742016443221,1.15944573121213e-07,9.55065003298463e-06
"ACT28625-1","ACT28625-1",1551,0.305030746624339,0.881043364824925,0.479837708357083,11.0063615772827,15.5708380530992,1.73516731372953e-07,1.40181497788034e-05
"ACT29614-1","ACT29614-1",2520,2.34629056525445,-1.38106477735217,-1.01940868787756,9.2576481963991,15.4960303908584,1.86988072021415e-07,1.48214507653201e-05
"ACT29473-1","ACT29473-1",2388,90.7944335148178,1.21822444532785,0.806695567504161,9.49614402340644,15.4201708089936,2.01717299749788e-07,1.56928588194233e-05
"ACT28031-1","ACT28031-1",954,1.57816950932066,-1.43937320501789,-0.295233966055219,9.9631679376019,15.1511250818285,2.63956014033532e-07,2.01614402719067e-05
"ACT27633-1","ACT27633-1",547,3.0104084001347,-1.1745027280742,-0.660493664788227,10.0481860698558,14.977001312592,3.14135064264059e-07,2.35657393745235e-05
"ACT29625-1","ACT29625-1",2531,3.30120321894943,1.97498987701453,0.992960690060177,7.97468223617759,14.7531979650713,3.9288652993332e-07,2.89564265306996e-05
"ACT28120-1","ACT28120-1",1048,1.59544971888857,-0.556192017843463,-0.990389139722687,10.1422316278198,14.6275681801829,4.454531503949e-07,3.22646324967064e-05
"ACT29440-1","ACT29440-1",2356,0.184198436045116,-1.7821786486685,-0.292060187644752,9.43198147236837,14.4803533976652,5.16068181743719e-07,3.67458039238197e-05
"ACT27398-1","ACT27398-1",304,2.67374306130352,2.28395459842973,1.57008455852788,7.46658532227335,14.4571777152072,5.28162465718552e-07,3.69801753080606e-05
